Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Hp,HP 15s-GR0514AU,ATHLON 3050U,8GB,1TB,"15.6""",Windows 11,Intel ,1.7,2,99000
Hp,HP 15s-DU3561TU,Intel Core i5,8GB,1TB,"15.6""",Windows 11,Intel ,1.7,2,172000
Hp,HP 15s-DU1114Tu,Intel Celeron,4GB,1TB ,"15.6""",Windows 10,Intel ,1.78,1,87000
Hp,HP 15s-EQ2890AU,AMD Ryzen 3,8GB,512GB,"15.6""",Windows 11,AMD,1.69,2,134000
Hp,HP Envy x360 13-AY0101AU,AMD Ryzen 7,8GB,512GB SSD,"13.3""",Windows 10 ,AMD,1.32,1,245000
Hp,HP Spectre X360 Convertible 13-Aw2062TU,Intel Core i7,16GB, 512GB SSD,"13.3""",Windows 10,Intel ,1.27,1,409000
Hp,HP ProBook 450 G8 Notebook,Intel Core i7,8GB,512GB SSD ,"15.6"" ",Windows 10,Intel ,2.3,3,262000
Hp,HP Pavilion 15-EC1513AX,AMD Ryzen 5,8GB,1TB + 256GB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,2.46,2,235000
Hp,HP Envy 15-EP1567TX ,Intel Core i5,16GB,1TB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,2.46,2,342000
Hp,HP Envy 15-EP1890TX,Intel Core i7,16GB,1TB SSD,"15.6"" ",Windows 11,4GB NVIDIA GeForce,2.46,2,392000
Hp,HP Victus 16- D0445TX,Intel Core i7,16GB,512GB SSD,"16.1""",Windows 11,4GB NVIDIA GeForce,2.46,2,348000
Hp,HP Omen 16-C0184AX,AMD Ryzen 7,16GB,512GB SSD,"16.1""",Windows 11,4GB NVIDIA GeForce,2.3,2,360000
Hp,HP omen 16-B0234TX,Intel Core i7,16GB ,1TB SSD,"16.1""",Windows 11,6GB NVIDIA GeForce,2.3,2,450000
Hp,HP 15s-EQ2690AU,AMD Ryzen 5,8GB ,512GB SSD,"15.6""",Windows 10,AMD,1.69,2,175000
Hp,HP ProBook 440 G8 Notebook,Intel Core i7,8GB,512GB SSD,"14.0""",Windows 10 ,Intel ,1.38,3,305000
Hp,HP 15s-DU3786TU,Intel Core i3,8GB,1TB,"15.6""",Windows 11,Intel ,1.75,2,134000
Hp,HP Envy x360 Convert 13-ay1123AU,AMD Ryzen 7,16GB,512GB SSD ,"13.3""",Windows 11,AMD,1.3,2,297000
Hp,HP 15s-DU3562TU,Intel Core i7,8GB,1TB + 256GB SSD,"15.6""",Windows 11,Intel ,1.75,2,228000
Hp,HP Envy x360 Convert 13-ay1678AU,AMD Ryzen 5,8GB ,512GB SSD,"13.3""",Windows 11,AMD,1.3,2,255000
